,episode_reward,nb_steps
0,1.0,47
1,-1.0,53
2,1.0,28
3,-1.0,25
4,-1.0,25
5,1.0,36
6,-1.0,47
7,-1.0,77
8,1.0,37
9,-1.0,42
10,-1.0,25
11,-1.0,25
12,-1.0,45
13,-1.0,20
14,-1.0,36
15,-1.0,25
16,-1.0,31
17,-1.0,27
18,-1.0,33
19,-1.0,61
20,-1.0,32
21,1.0,48
22,-1.0,30
23,-1.0,45
24,-1.0,27
25,-1.0,32
26,-1.0,55
27,-1.0,36
28,-1.0,28
29,-1.0,20
30,-1.0,23
31,-1.0,22
32,-1.0,25
33,-1.0,49
34,-1.0,31
35,-1.0,37
36,-1.0,33
37,-1.0,35
38,-1.0,29
39,-1.0,30
40,-1.0,28
41,-1.0,76
42,-1.0,50
43,-1.0,35
44,-1.0,28
45,-1.0,38
46,-1.0,39
47,-1.0,90
48,-1.0,41
49,-1.0,37
50,-1.0,24
51,-1.0,34
52,1.0,73
53,-1.0,51
54,-1.0,45
55,-1.0,45
56,-1.0,30
57,-1.0,42
58,-1.0,32
59,-1.0,46
60,-1.0,33
61,-1.0,35
62,1.0,27
63,-1.0,28
64,-1.0,27
65,-1.0,40
66,-1.0,26
67,-1.0,32
68,-1.0,23
69,-1.0,79
70,-1.0,27
71,-1.0,28
72,-1.0,30
73,-1.0,36
74,-1.0,43
75,-1.0,23
76,-1.0,54
77,-1.0,26
78,-1.0,37
79,-1.0,23
80,-1.0,27
81,-1.0,32
82,-1.0,23
83,-1.0,56
84,-1.0,60
85,-1.0,31
86,1.0,36
87,-1.0,34
88,-1.0,28
89,-1.0,26
90,-1.0,16
91,-1.0,32
92,-1.0,55
93,-1.0,40
94,-1.0,26
95,-1.0,34
96,-1.0,34
97,-1.0,34
98,-1.0,13
99,-1.0,43
