,episode_reward,nb_steps
0,-1.0,52
1,-1.0,44
2,-1.0,94
3,-1.0,37
4,1.0,34
5,-1.0,69
6,1.0,39
7,-1.0,51
8,-1.0,41
9,1.0,35
10,-1.0,75
11,-1.0,73
12,1.0,104
13,-1.0,38
14,-1.0,54
15,-1.0,67
16,-1.0,66
17,-1.0,40
18,-1.0,61
19,1.0,56
20,1.0,53
21,-1.0,75
22,-1.0,90
23,1.0,42
24,1.0,53
25,-1.0,85
26,1.0,49
27,-1.0,48
28,1.0,31
29,-1.0,39
30,1.0,44
31,1.0,64
32,1.0,44
33,-1.0,50
34,1.0,37
35,1.0,97
36,-1.0,68
37,1.0,37
38,-1.0,70
39,1.0,114
40,1.0,36
41,-1.0,80
42,1.0,35
43,1.0,63
44,-1.0,66
45,1.0,33
46,-1.0,59
47,-1.0,65
48,1.0,44
49,1.0,110
50,1.0,67
51,-1.0,56
52,1.0,79
53,1.0,66
54,1.0,90
55,-1.0,56
56,1.0,33
57,-1.0,56
58,1.0,52
59,1.0,47
60,-1.0,65
61,1.0,148
62,1.0,73
63,1.0,46
64,-1.0,56
65,1.0,79
66,1.0,91
67,1.0,66
68,-1.0,68
69,-1.0,67
70,1.0,45
71,-1.0,50
72,1.0,37
73,1.0,41
74,1.0,35
75,-1.0,127
76,-1.0,65
77,-1.0,30
78,1.0,47
79,1.0,62
80,1.0,152
81,-1.0,87
82,-1.0,45
83,-1.0,120
84,1.0,109
85,1.0,38
86,-1.0,48
87,1.0,55
88,1.0,101
89,1.0,39
90,1.0,51
91,-1.0,40
92,1.0,83
93,1.0,43
94,1.0,89
95,1.0,51
96,-1.0,44
97,1.0,100
98,1.0,39
99,-1.0,68
