,episode_reward,nb_steps
0,37.10635250376164,37
1,-35.69,27
2,30.0,35
3,-35.51,43
4,-41.08,31
5,-36.0,22
6,-44.44,33
7,-41.49,25
8,-45.0,44
9,-35.86,48
10,-44.25,32
11,-47.19,24
12,-32.33,25
13,-44.15,22
14,32.29482071713147,38
15,-44.9,30
16,-41.53,23
17,-38.32,35
18,-41.11,25
19,-41.42,46
20,-41.480000000000004,26
21,-35.82,32
22,-44.3,26
23,-35.58,41
24,-35.91,25
25,-38.72,59
26,-41.730000000000004,32
27,-41.54,29
28,-32.71,80
29,-39.0,40
30,-38.55,45
31,-39.0,29
32,-36.0,76
33,-41.4,23
34,-45.0,29
35,-44.72,37
36,-44.38,30
37,-38.010000000000005,44
38,-45.0,36
39,-36.0,38
40,-38.9,44
41,-32.45,33
42,-44.5,28
43,-41.38,32
44,-35.39,32
45,-38.120000000000005,28
46,-42.0,33
47,-41.81,22
48,-32.88,100
49,-39.0,36
50,-41.4,29
51,-35.71,30
52,-44.59,25
53,-35.12,35
54,-33.0,42
55,-38.81,62
56,-38.26,32
57,-44.65,23
58,-44.04,23
59,-42.0,40
60,-41.4,28
61,-38.59,46
62,-42.0,30
63,-32.08,36
64,-32.49,33
65,-43.39,31
66,-35.35,32
67,-41.35,25
68,34.68303392067956,61
69,-36.0,40
70,-32.73,36
71,-38.3,29
72,-36.0,41
73,-33.0,27
74,-39.0,30
75,-39.0,38
76,-35.57,48
77,-45.0,44
78,-44.56,15
79,-47.17,18
80,-38.28,36
81,-42.0,35
82,-39.0,30
83,-44.51,35
84,-39.0,29
85,-32.15,41
86,-38.54,35
87,-47.0,41
88,-38.46,26
89,-45.0,20
90,-38.22,34
91,-41.26,46
92,-45.0,26
93,-41.83,21
94,-41.3,30
95,-35.37,49
96,-44.05,25
97,32.49402390438247,96
98,-36.0,73
99,-33.0,32
