,episode_reward,nb_episode_steps,nb_steps
0,40.710438037823906,40,40
1,-35.2,70,110
2,-32.74,66,176
3,33.0,63,239
4,-38.01,55,294
5,-32.18,52,346
6,-34.53,47,393
7,34.66943806012741,50,443
8,32.40239043824701,47,490
9,-39.89,37,527
10,-32.7,58,585
11,-32.82,55,640
12,38.58439695366634,70,710
13,-34.58,45,755
14,35.87832699619772,138,893
15,35.184985795454544,46,939
16,-40.69,90,1029
17,-40.36,37,1066
18,-34.86,48,1114
19,-35.67,63,1177
20,-39.64,57,1234
21,-40.33,41,1275
22,-32.66,61,1336
23,39.526411055043276,61,1397
24,35.53306184344083,56,1453
25,35.07748233113197,63,1516
26,32.301115241635685,84,1600
27,37.56471452885657,80,1680
28,-35.26,41,1721
29,35.22634757324983,49,1770
30,-32.75999999999999,112,1882
31,-32.769999999999996,112,1994
32,35.54929577464789,103,2097
33,-34.9,45,2142
34,-44.16,35,2177
35,-40.96,32,2209
36,32.80147058823529,79,2288
37,-37.84,88,2376
38,-32.92,144,2520
39,-34.82,45,2565
40,-32.39,50,2615
41,35.085585585585584,113,2728
42,-32.82000000000001,31,2759
43,38.49655243387877,75,2834
44,32.090225563909776,64,2898
45,-35.36,28,2926
46,38.07498332614069,45,2971
47,35.396557314233505,64,3035
48,-38.2,86,3121
49,34.84532374100719,33,3154
50,-32.14,55,3209
51,38.259157894736845,42,3251
52,35.42639593908629,64,3315
53,-32.88,82,3397
54,35.57476728064963,58,3455
55,-38.21,51,3506
56,-32.51,45,3551
57,35.25219636901595,54,3605
58,30.0,59,3664
59,32.46376811594203,58,3722
60,-35.17,52,3774
61,32.097315436241615,89,3863
62,38.422222222222224,53,3916
63,-35.339999999999996,59,3975
64,32.763565891472865,75,4050
65,32.90282131661442,82,4132
66,-33.0,169,4301
67,34.97557188178327,37,4338
68,32.13559322033898,73,4411
69,33.0,51,4462
70,32.90557939914163,65,4527
71,32.63786008230453,50,4577
72,-35.08,53,4630
73,32.278884462151396,94,4724
74,32.17537313432836,44,4768
75,35.631578947368425,65,4833
76,32.174311926605505,41,4874
77,-32.44,65,4939
78,-32.10999999999999,32,4971
79,-35.1,98,5069
80,-37.48,61,5130
81,-38.04,75,5205
82,-39.1,50,5255
83,32.218867924528304,33,5288
84,32.427609427609426,64,5352
85,32.25818181818182,43,5395
86,-32.41,80,5475
87,40.3356945837008,43,5518
88,34.873758683885264,56,5574
89,32.36206896551724,121,5695
90,-42.209999999999994,78,5773
91,-32.71,78,5851
92,-34.45,103,5954
93,-40.26,38,5992
94,-43.49,103,6095
95,-32.36,46,6141
96,30.0,51,6192
97,32.00348432055749,74,6266
98,34.58377425044092,43,6309
99,-32.31,52,6361
100,32.288,61,6422
101,43.34069078258605,47,6469
102,34.35580678556303,56,6525
103,40.551264026315096,44,6569
104,-35.89,67,6636
105,-32.68000000000001,61,6697
106,-37.82,100,6797
107,32.44736842105263,59,6856
108,-34.94,94,6950
109,32.29965156794425,54,7004
110,-40.769999999999996,30,7034
111,35.888086642599276,61,7095
112,-40.129999999999995,52,7147
113,-32.97,129,7276
114,34.716694549616975,55,7331
115,32.04912280701754,80,7411
116,-39.99,79,7490
117,-40.81,35,7525
118,32.64516129032258,89,7614
119,-33.0,78,7692
120,-32.88,63,7755
121,33.0,64,7819
122,35.19174041297935,59,7878
123,-33.0,63,7941
124,-35.6,54,7995
125,35.22660098522167,63,8058
126,36.78142766796526,34,8092
127,37.90478149214572,37,8129
128,-32.519999999999996,63,8192
129,35.23481047095097,57,8249
130,-32.62,63,8312
131,36.0,39,8351
132,33.0,113,8464
133,-32.82,59,8523
134,-32.95,84,8607
135,30.0,47,8654
136,32.625377643504535,52,8706
137,-34.95,53,8759
138,-35.54,35,8794
139,-40.72,46,8840
140,32.11914893617021,61,8901
141,-32.56,46,8947
142,-37.28,96,9043
143,34.982035054200004,46,9089
144,34.95246525351347,67,9156
145,-32.2,53,9209
146,-38.1,66,9275
147,-34.98,66,9341
148,37.9801308887146,44,9385
149,-34.76,51,9436
150,36.90237182883405,60,9496
151,32.67460317460318,77,9573
152,32.83834586466165,75,9648
153,-37.81,110,9758
154,37.81661390401418,58,9816
155,37.95610521891765,55,9871
156,-40.42,39,9910
157,-34.74,55,9965
