,episode_reward,nb_episode_steps,nb_steps
0,-1.0,29,29
1,-1.0,34,63
2,1.0,36,99
3,-1.0,87,186
4,-1.0,21,207
5,-1.0,27,234
6,-1.0,25,259
7,-1.0,34,293
8,-1.0,41,334
9,-1.0,19,353
10,-1.0,33,386
11,1.0,57,443
12,1.0,119,562
13,-1.0,20,582
14,-1.0,30,612
15,-1.0,31,643
16,-1.0,28,671
17,-1.0,24,695
18,1.0,44,739
19,-1.0,33,772
20,-1.0,32,804
21,-1.0,32,836
22,-1.0,32,868
23,-1.0,37,905
24,-1.0,42,947
25,-1.0,25,972
26,-1.0,20,992
27,-1.0,25,1017
28,-1.0,22,1039
29,-1.0,23,1062
30,1.0,35,1097
31,-1.0,33,1130
32,-1.0,53,1183
33,-1.0,39,1222
34,-1.0,89,1311
35,-1.0,27,1338
36,-1.0,30,1368
37,-1.0,23,1391
38,-1.0,21,1412
39,-1.0,44,1456
40,-1.0,53,1509
41,-1.0,28,1537
42,-1.0,49,1586
43,-1.0,13,1599
44,-1.0,18,1617
45,-1.0,29,1646
46,-1.0,30,1676
47,-1.0,31,1707
48,-1.0,36,1743
49,-1.0,26,1769
50,-1.0,50,1819
51,-1.0,27,1846
52,-1.0,31,1877
53,-1.0,22,1899
54,-1.0,31,1930
55,-1.0,21,1951
56,1.0,33,1984
57,-1.0,27,2011
58,-1.0,21,2032
59,-1.0,20,2052
60,-1.0,34,2086
61,-1.0,55,2141
62,-1.0,40,2181
63,-1.0,19,2200
64,-1.0,33,2233
65,-1.0,43,2276
66,-1.0,19,2295
67,-1.0,32,2327
68,-1.0,25,2352
69,-1.0,76,2428
70,-1.0,22,2450
71,-1.0,47,2497
72,-1.0,27,2524
73,-1.0,22,2546
74,-1.0,26,2572
75,-1.0,44,2616
76,-1.0,21,2637
77,-1.0,46,2683
78,-1.0,29,2712
79,-1.0,46,2758
80,-1.0,34,2792
81,-1.0,43,2835
82,1.0,49,2884
83,-1.0,19,2903
84,-1.0,45,2948
85,1.0,38,2986
86,-1.0,35,3021
87,-1.0,25,3046
88,-1.0,30,3076
89,-1.0,49,3125
90,-1.0,48,3173
91,-1.0,44,3217
92,-1.0,28,3245
93,-1.0,19,3264
94,-1.0,26,3290
95,-1.0,48,3338
96,-1.0,42,3380
97,-1.0,26,3406
98,-1.0,26,3432
99,-1.0,20,3452
100,-1.0,143,3595
101,-1.0,18,3613
102,-1.0,32,3645
103,-1.0,32,3677
