,episode_reward,nb_episode_steps,nb_steps
0,-35.53,29,29
1,-38.67,50,79
2,-35.6,22,101
3,-35.91,29,130
4,-41.480000000000004,28,158
5,-41.76,33,191
6,-41.93,43,234
7,32.894160583941606,56,290
8,-41.63,28,318
9,-44.28,28,346
10,32.16546762589928,33,379
11,32.32786885245902,33,412
12,-42.0,22,434
13,-44.38,28,462
14,-41.58,21,483
15,35.02773826458037,44,527
16,-44.26,20,547
17,-44.3,29,576
18,-43.24,25,601
19,32.36909871244635,41,642
20,-38.26,28,670
21,-47.76,26,696
22,-45.0,22,718
23,-41.82,31,749
24,-35.88,39,788
25,-39.0,29,817
26,-32.77,35,852
27,-36.0,25,877
28,-38.44,34,911
29,-41.26,33,944
30,-42.0,37,981
31,-42.0,42,1023
32,-36.0,32,1055
33,-45.0,30,1085
34,-38.49,25,1110
35,32.938628158844764,41,1151
36,34.83764486754967,27,1178
37,-42.0,22,1200
38,-38.91,27,1227
39,-41.14,32,1259
40,-35.33,29,1288
41,-41.230000000000004,18,1306
42,-38.32,35,1341
43,-35.9,36,1377
44,-38.07000000000001,25,1402
45,-41.36,31,1433
46,-32.91,40,1473
47,-35.91,25,1498
48,30.0,58,1556
49,-32.24000000000001,33,1589
50,-44.650000000000006,21,1610
51,-39.88,48,1658
52,36.837147378860024,26,1684
53,-32.91,33,1717
54,-42.0,33,1750
55,-38.08,26,1776
56,-38.18,32,1808
57,-38.01,24,1832
58,-35.56999999999999,39,1871
59,-35.8,29,1900
60,-35.08,25,1925
61,-44.519999999999996,19,1944
62,-38.82,28,1972
63,-39.0,54,2026
64,-44.1,13,2039
65,-41.2,36,2075
66,-32.09,38,2113
67,-32.91,36,2149
68,-32.08,33,2182
69,32.911764705882355,55,2237
70,-44.7,30,2267
71,32.77700348432056,34,2301
72,32.43650793650794,41,2342
73,-38.72,68,2410
74,37.716937444499564,35,2445
75,40.2220638445984,28,2473
76,-32.98,39,2512
77,-41.28,26,2538
78,-42.0,72,2610
79,-44.68,17,2627
80,-39.0,32,2659
81,-32.68,28,2687
82,-44.2,21,2708
83,-41.24,113,2821
84,-44.17,25,2846
85,-39.0,76,2922
86,-35.26,32,2954
87,-35.209999999999994,26,2980
88,32.41812865497076,36,3016
89,-35.56,42,3058
90,-41.4,29,3087
91,-41.15,32,3119
92,-39.0,25,3144
93,-38.67,34,3178
94,-38.32,23,3201
95,-32.66,34,3235
96,-35.56,35,3270
97,32.4236641221374,29,3299
98,32.59933774834437,45,3344
99,-38.870000000000005,36,3380
100,-33.0,27,3407
101,34.40693364122509,27,3434
102,-36.0,22,3456
103,-41.94,25,3481
104,-32.42,27,3508
105,-35.38,26,3534
106,-32.68,43,3577
107,-33.0,33,3610
108,-38.370000000000005,35,3645
109,-38.66,39,3684
110,-36.0,30,3714
111,-35.7,25,3739
112,-32.74,28,3767
113,-38.36,22,3789
114,-38.7,24,3813
115,-35.88,44,3857
116,-41.35,29,3886
117,-33.0,29,3915
118,-41.9,26,3941
119,38.06274886877828,40,3981
120,34.31303474202748,39,4020
121,40.59430097707188,24,4044
122,-36.0,29,4073
123,34.471342891414864,33,4106
124,35.56996664645239,32,4138
125,43.44761702194247,20,4158
126,-32.08,29,4187
127,-32.18,29,4216
128,-36.0,30,4246
129,-41.519999999999996,18,4264
130,35.47878787878788,32,4296
131,-35.17,91,4387
132,-36.0,17,4404
