,episode_reward,nb_steps
0,-40.6,45
1,-35.25,29
2,-41.64,21
3,35.236360096829344,24
4,-32.99,27
5,35.182156133829,33
6,-33.0,31
7,-35.06,55
8,-32.29,36
9,-38.11,24
10,38.399415271508296,21
11,-35.9,33
12,35.40492957746479,25
13,41.397887323943664,33
14,32.37837837837838,34
15,-35.2,24
16,-41.42,27
17,-44.07000000000001,25
18,-35.63,33
19,-38.82,29
20,-38.51,17
21,-35.769999999999996,21
22,35.112149532710276,56
23,32.7112676056338,23
24,-38.25,18
25,-35.64,32
26,33.0,83
27,35.73873873873874,25
28,-41.269999999999996,19
29,-33.0,137
30,-32.91,31
31,-41.019999999999996,23
32,-41.43,24
33,-36.0,39
34,-35.7,32
35,-35.32,29
36,32.38022813688213,33
37,32.491467576791806,133
38,-33.0,21
39,32.69230769230769,35
40,-38.7,24
41,-35.33,29
42,35.35616438356165,29
43,38.7852098742885,24
44,-35.2,45
45,35.27832512315271,25
46,32.370909090909095,30
47,-32.44,26
48,-33.0,38
49,-32.92,31
50,-32.91,38
51,34.622032609613925,27
52,41.23109243697479,23
53,35.7972972972973,33
54,39.96784362395284,19
55,35.680672268907564,23
56,33.0,32
57,-39.0,43
58,-32.91,27
59,-47.95,41
60,-44.230000000000004,29
61,-32.94,36
62,-35.81,26
63,-35.14,58
64,30.0,35
65,34.90851053842182,37
66,-38.43,37
67,35.05916013336938,23
68,-38.83,21
69,-41.3,26
70,-35.03,33
71,-32.59,30
72,-35.39,92
73,36.0,21
74,35.44137931034483,20
75,32.56934306569343,32
76,32.25992779783394,35
77,-36.0,25
78,36.0,34
79,-38.5,21
80,35.03126827732038,31
81,33.0,45
82,36.672634940337275,40
83,-35.33,33
84,32.75849056603773,74
85,-35.81,21
86,41.71604938271605,25
87,-39.0,23
88,-35.8,26
89,32.81138790035587,24
90,-32.46,36
91,33.0,55
92,40.67302423841923,23
93,-38.47,20
94,35.00603880251831,27
95,-35.34,36
96,-38.76,36
97,-47.209999999999994,28
98,-35.38,27
99,35.698181818181816,19
