,episode_reward,nb_episode_steps,nb_steps
0,-35.9,28,28
1,-41.290000000000006,29,57
2,-44.5,17,74
3,-35.51,34,108
4,-41.17999999999999,26,134
5,-42.0,17,151
6,-32.14,41,192
7,-38.43,29,221
8,32.70631970260223,73,294
9,-41.5,35,329
10,-41.29,20,349
11,-35.81,24,373
12,34.195693003799036,33,406
13,-37.46,27,433
14,-44.16,28,461
15,-41.05,18,479
16,32.44200626959247,29,508
17,-32.56,47,555
18,-35.55,28,583
19,-44.49,15,598
20,-42.0,44,642
21,-44.269999999999996,21,663
22,-44.650000000000006,37,700
23,-38.66,26,726
24,-38.07,27,753
25,-45.0,15,768
26,33.0,38,806
27,-44.51,18,824
28,-44.24,15,839
29,-42.0,21,860
30,-41.63000000000001,45,905
31,-44.25,26,931
32,-38.91,26,957
33,-35.8,43,1000
34,-35.76,50,1050
35,-39.0,33,1083
36,-39.0,33,1116
37,-42.0,42,1158
38,-36.0,22,1180
39,-35.91,38,1218
40,-38.55,27,1245
41,-35.26,31,1276
42,32.191570881226056,50,1326
43,-41.68,35,1361
44,-38.07,31,1392
45,35.04318936877076,55,1447
46,-38.7,52,1499
47,-41.010000000000005,25,1524
48,-37.61,28,1552
49,-38.69,27,1579
50,-41.57,33,1612
51,-39.0,33,1645
52,-44.31,21,1666
53,-38.67,31,1697
54,-47.480000000000004,40,1737
55,-36.0,61,1798
56,-32.62,43,1841
57,-44.39,16,1857
58,-41.769999999999996,59,1916
59,-41.35,25,1941
60,-41.230000000000004,30,1971
61,-41.41,36,2007
62,35.758996364196975,74,2081
63,-39.0,32,2113
64,-41.21000000000001,33,2146
65,34.30800220750552,41,2187
66,-32.33,38,2225
67,-39.0,30,2255
68,-41.790000000000006,35,2290
69,-44.8,29,2319
70,-35.19,37,2356
71,-38.35,67,2423
72,-41.11,39,2462
73,-35.08,33,2495
74,-41.92,17,2512
75,-44.66,27,2539
76,-41.65,23,2562
77,-41.78,24,2586
78,-42.0,35,2621
79,-44.45,16,2637
80,-41.5,71,2708
81,34.467252636865894,25,2733
82,-41.57,25,2758
83,-45.0,21,2779
84,-41.84,17,2796
85,-36.0,27,2823
86,-36.0,49,2872
87,-38.49,22,2894
88,-42.0,19,2913
89,-41.09,22,2935
90,-35.75,47,2982
91,32.144,35,3017
92,-41.09,44,3061
93,-38.379999999999995,23,3084
94,-41.56,27,3111
95,-44.51,24,3135
96,-32.78,36,3171
97,-39.0,97,3268
98,-44.57,18,3286
99,-32.92,27,3313
100,-47.35,25,3338
101,-38.379999999999995,33,3371
102,-35.22,43,3414
103,-38.0,44,3458
104,-38.29,36,3494
105,-41.33,34,3528
106,37.50702335264755,28,3556
107,-46.519999999999996,27,3583
108,-38.85,28,3611
109,-36.0,41,3652
110,-40.58,27,3679
111,-38.269999999999996,25,3704
112,32.96853146853147,78,3782
113,-44.46,22,3804
114,32.273109243697476,46,3850
115,-33.0,45,3895
116,-38.79,29,3924
117,-42.0,77,4001
118,-33.0,23,4024
119,-41.72,39,4063
120,-32.32,42,4105
121,-41.25,30,4135
122,-42.0,42,4177
123,-32.36,52,4229
124,-36.0,25,4254
125,-33.0,38,4292
126,-41.37,47,4339
127,-33.0,35,4374
128,32.03862660944206,30,4404
129,-39.0,22,4426
130,-33.0,29,4455
131,-39.0,24,4479
132,-41.8,35,4514
133,-38.95,32,4546
134,-33.0,68,4614
135,-36.0,67,4681
136,-38.14,34,4715
137,32.175,24,4739
138,-42.0,41,4780
139,-41.43000000000001,32,4812
140,-41.78,22,4834
141,-41.42,27,4861
142,-35.78,42,4903
143,32.35398230088496,34,4937
144,-41.84,36,4973
145,-35.5,27,5000
146,-32.45,48,5048
147,-47.26,28,5076
148,33.0,51,5127
149,-38.42,24,5151
150,-35.81,34,5185
151,-33.0,22,5207
152,-44.7,34,5241
153,33.0,71,5312
154,-38.93000000000001,45,5357
155,-35.68,34,5391
156,-34.84,57,5448
157,-38.04,23,5471
158,-35.2,30,5501
159,-35.34,40,5541
160,32.35036496350365,41,5582
161,-38.11,52,5634
162,-35.31,17,5651
163,-38.31,49,5700
164,-32.55,29,5729
165,-32.22,56,5785
166,-41.150000000000006,68,5853
167,35.067077643386654,31,5884
168,-44.09,25,5909
169,-35.900000000000006,30,5939
170,-32.99,39,5978
171,-41.75,63,6041
172,-44.21,15,6056
173,32.34074074074074,38,6094
174,-33.0,50,6144
175,-39.0,32,6176
176,32.31695331695332,52,6228
177,37.40270106545986,29,6257
178,-32.88,47,6304
179,-38.25,36,6340
180,-41.63,30,6370
181,-33.0,29,6399
182,-36.769999999999996,42,6441
183,-41.05,41,6482
184,-32.54,42,6524
185,-42.0,21,6545
186,-41.64,29,6574
187,-42.0,24,6598
188,-44.68,19,6617
189,-40.44,34,6651
190,-44.76,30,6681
191,-42.0,24,6705
192,-44.79,45,6750
193,-38.47,32,6782
194,-44.89,25,6807
195,-39.0,34,6841
196,-42.0,19,6860
197,-32.9,35,6895
198,-42.0,24,6919
199,-38.33,27,6946
200,-41.85,37,6983
201,-32.36,40,7023
202,-47.53,24,7047
203,-41.53,25,7072
204,40.419681933381014,28,7100
205,-39.0,27,7127
206,-41.06999999999999,34,7161
207,-38.8,29,7190
208,-35.41,34,7224
209,32.003571428571426,38,7262
210,-32.71,34,7296
211,-47.9,19,7315
212,-41.56,99,7414
213,-36.0,39,7453
214,-38.25,34,7487
215,-39.0,24,7511
216,-35.81,25,7536
217,-41.38,30,7566
218,-36.0,29,7595
219,34.23938256153525,33,7628
220,-41.87,27,7655
221,-35.1,31,7686
222,-38.230000000000004,32,7718
223,-35.94,37,7755
224,-35.519999999999996,77,7832
225,-41.81,29,7861
226,-32.93,32,7893
227,32.39041095890411,36,7929
228,-35.91,32,7961
229,-41.379999999999995,33,7994
230,-39.0,24,8018
231,-35.9,106,8124
232,-44.28,41,8165
233,-41.95,20,8185
234,-36.0,54,8239
235,-41.47,64,8303
236,32.99664429530201,60,8363
237,32.41638225255973,44,8407
238,-38.51,24,8431
239,-33.0,35,8466
240,-32.61,28,8494
241,-33.0,35,8529
242,-38.91,30,8559
243,-38.05,34,8593
244,-44.84,25,8618
245,-45.0,16,8634
246,-40.91,60,8694
247,-41.28,30,8724
248,-41.14,29,8753
249,-42.0,28,8781
250,-41.31,21,8802
251,-38.74,39,8841
252,-32.27,24,8865
253,-35.230000000000004,28,8893
254,32.78111587982833,35,8928
255,-38.0,39,8967
256,-41.269999999999996,26,8993
257,-39.0,32,9025
258,-35.769999999999996,36,9061
259,-35.42,79,9140
260,-38.43,28,9168
261,-42.0,45,9213
262,-41.41,25,9238
263,-45.0,31,9269
264,-32.49,46,9315
265,-35.62,42,9357
266,30.0,33,9390
267,-35.41,39,9429
268,-47.58,26,9455
269,-42.0,42,9497
270,-35.36,49,9546
271,-32.21,44,9590
272,-39.0,23,9613
273,-38.01,58,9671
274,-45.0,22,9693
275,-35.4,30,9723
276,-35.82,29,9752
277,-38.620000000000005,30,9782
278,33.0,69,9851
279,-41.03,34,9885
280,-42.0,45,9930
281,-41.91,19,9949
282,-38.64,25,9974
283,-33.0,30,10004
284,32.21641791044776,38,10042
285,-41.5,20,10062
286,-41.230000000000004,37,10099
287,-35.74,34,10133
288,-33.0,39,10172
289,-38.75,24,10196
290,-38.04,49,10245
291,-38.5,33,10278
292,-38.879999999999995,30,10308
293,-41.019999999999996,30,10338
294,-35.49000000000001,28,10366
295,-41.94,24,10390
296,-44.2,27,10417
297,-41.49,21,10438
298,-35.92,36,10474
299,-43.5,42,10516
300,-41.57000000000001,45,10561
301,34.97338403041825,61,10622
302,-32.55,31,10653
303,-44.50999999999999,32,10685
304,-42.0,60,10745
305,32.2956204379562,41,10786
306,-35.1,49,10835
307,-41.81,24,10859
308,-35.769999999999996,30,10889
309,-38.11,30,10919
310,-38.69,25,10944
311,-38.82,25,10969
312,-39.0,37,11006
313,-35.61,34,11040
314,-44.36,26,11066
315,32.76305220883534,50,11116
316,-44.61,22,11138
317,-41.379999999999995,31,11169
318,-35.5,43,11212
319,32.60820895522388,30,11242
320,-35.95,47,11289
321,-48.0,61,11350
322,-35.59,73,11423
323,-38.64,38,11461
